time,open,close,high,low,volume,K,D,J,DIF,DEA,MACD,RSI
2024-11-07,3.291,3.351,3.351,3.281,1936749.0,,,,0.0,0.0,0.0,
2024-11-08,3.371,3.301,3.381,3.291,2097718.0,,,,-0.004,-0.001,-0.006,0.0
2024-11-11,3.281,3.301,3.301,3.251,1774369.0,,,,-0.007,-0.002,-0.01,0.0
2024-11-12,3.291,3.261,3.331,3.251,1814379.0,,,,-0.013,-0.004,-0.017,0.0
2024-11-13,3.271,3.281,3.291,3.251,1096799.0,,,,-0.015,-0.006,-0.018,3.238
2024-11-14,3.281,3.271,3.311,3.261,1515857.0,,,,-0.018,-0.009,-0.018,3.183
2024-11-15,3.261,3.261,3.311,3.221,2204375.0,,,,-0.021,-0.011,-0.019,3.125
2024-11-18,3.301,3.411,3.471,3.291,4026586.0,,,,-0.01,-0.011,0.001,25.063
2024-11-19,3.391,3.421,3.511,3.331,3242513.0,68.96551724137922,68.96551724137922,68.96551724137922,-0.002,-0.009,0.015,26.261
2024-11-20,3.411,3.411,3.451,3.381,1739257.0,67.81609195402292,68.58237547892712,66.28352490421454,0.005,-0.006,0.022,25.817
2024-11-21,3.411,3.401,3.431,3.371,1264796.0,65.90038314176238,67.68837803320554,62.32439335887605,0.009,-0.003,0.024,25.354
2024-11-22,3.401,3.331,3.431,3.331,1737885.0,56.57726692209445,63.98467432950184,41.76245210727967,0.006,-0.001,0.015,22.338
2024-11-25,3.341,3.351,3.381,3.331,1567171.0,52.66070668369514,60.21001844756628,37.56208315595286,0.005,-0.0,0.011,25.08
2024-11-26,3.351,3.401,3.421,3.321,1542004.0,55.79679296154386,58.738943285558804,49.91249231351395,0.009,0.002,0.015,31.585
2024-11-27,3.391,3.431,3.431,3.361,1401026.0,61.33579300884533,59.604559859987646,64.79825930656071,0.014,0.004,0.02,35.219
2024-11-28,3.421,3.431,3.451,3.401,1123814.0,62.102649884684766,60.43725653488669,65.43343658428093,0.018,0.007,0.022,35.219
2024-11-29,3.431,3.411,3.471,3.411,1741043.0,57.19124027400036,59.355251114591255,52.863218592818555,0.019,0.009,0.019,33.83
2024-12-02,3.421,3.411,3.431,3.381,1632380.0,58.12749351600022,58.94599858172758,56.49048338454551,0.02,0.011,0.017,33.83
2024-12-03,3.401,3.501,3.501,3.391,2302605.0,72.08499567733348,63.325664280262885,89.60365847147466,0.027,0.015,0.025,45.127
2024-12-04,3.491,3.521,3.531,3.451,1592762.0,79.8026955309207,68.81800803048216,101.7720705317978,0.034,0.019,0.032,47.281
2024-12-05,3.511,3.491,3.551,3.481,1466045.0,77.83947818003409,71.82516474699948,89.86810504610332,0.037,0.022,0.03,44.462
2024-12-06,3.491,3.541,3.561,3.481,1571945.0,82.44854100891162,75.36629016763686,96.61304269146115,0.043,0.026,0.033,49.832
2024-12-09,3.531,3.551,3.571,3.501,1430097.0,85.12442416467124,78.61900149998166,98.13526949405039,0.048,0.031,0.034,50.855
2024-12-10,3.591,3.561,3.611,3.541,1878341.0,82.83657263151994,80.02485854382776,88.4600008069043,0.052,0.035,0.034,51.911
2024-12-11,3.561,3.501,3.571,3.491,1961396.0,72.6156861021727,77.55513439660942,62.73678951329927,0.05,0.038,0.024,45.58
2024-12-12,3.511,3.591,3.591,3.501,1956995.0,78.84524001014412,77.98516960112099,80.5653808281904,0.055,0.041,0.027,54.537
2024-12-13,3.571,3.531,3.581,3.511,2070414.0,73.77561455221729,76.58198458481976,68.16287448701235,0.053,0.044,0.019,48.774
2024-12-16,3.511,3.541,3.571,3.511,1599002.0,67.93374303481149,73.69923740148367,56.40275430146713,0.052,0.045,0.013,49.727
2024-12-17,3.531,3.491,3.561,3.481,1547237.0,47.85326458731028,65.08391313009254,13.391967501745768,0.047,0.046,0.002,45.197
2024-12-18,3.521,3.581,3.641,3.521,2520747.0,52.73550972487352,60.96777866168621,36.27097185124816,0.049,0.046,0.006,53.422
2024-12-19,3.561,3.531,3.601,3.521,1736637.0,45.573673149915734,55.83641015776273,25.048199134221733,0.046,0.046,0.0,49.021
2024-12-20,3.541,3.511,3.561,3.501,1336053.0,36.63244876661054,49.43508969404533,11.027166911740949,0.042,0.045,-0.007,47.34
2024-12-23,3.511,3.571,3.611,3.511,2096766.0,43.17163251107374,47.347270633054805,34.820356267111606,0.043,0.045,-0.004,52.591
2024-12-24,3.581,3.611,3.631,3.561,1514889.0,55.864421674049204,50.18632098005294,67.22062306204174,0.047,0.045,0.003,55.757
2024-12-25,3.621,3.641,3.661,3.601,1463582.0,66.8725774123291,55.748406457478325,89.12091932203063,0.051,0.046,0.009,58.022
2024-12-26,3.631,3.621,3.641,3.581,1200833.0,70.507644200812,60.668152371922886,90.18662785859021,0.053,0.048,0.01,55.965
2024-12-27,3.621,3.631,3.651,3.551,1631769.0,74.7828739116524,65.37305955183272,93.60250263129174,0.054,0.049,0.01,56.79
2024-12-30,3.631,3.721,3.731,3.621,2221123.0,81.73930724544945,70.82847544970497,103.56097083693842,0.062,0.051,0.02,63.43
2024-12-31,3.721,3.681,3.781,3.671,2212929.0,75.92144292553775,72.52613127498256,82.71206622664812,0.064,0.054,0.019,59.084
2025-01-02,3.681,3.541,3.711,3.521,3193565.0,55.3762000455966,66.8094875318539,32.50962507308199,0.053,0.054,-0.001,46.959
2025-01-03,3.561,3.521,3.581,3.481,2034366.0,41.36191114150885,58.32696206840556,7.4318092877154385,0.043,0.052,-0.017,45.522
2025-01-06,3.521,3.531,3.531,3.431,1844511.0,37.09841695148209,51.2507803627644,8.793690128917476,0.035,0.048,-0.026,46.405
2025-01-07,3.531,3.541,3.551,3.491,1330568.0,35.20846844384519,45.903343056458,13.818719218619577,0.03,0.045,-0.03,47.325
2025-01-08,3.541,3.551,3.591,3.521,1826232.0,34.90088372446823,42.23585661246141,20.230937948481866,0.026,0.041,-0.03,48.281
2025-01-09,3.551,3.491,3.551,3.461,1653011.0,28.981541530597873,37.81775158517357,11.309121421446491,0.018,0.036,-0.037,43.214
2025-01-10,3.491,3.491,3.521,3.421,1827818.0,25.802509168546752,33.8126707796313,9.782185946377666,0.011,0.031,-0.04,43.214
2025-01-13,3.471,3.421,3.471,3.401,1821335.0,18.95605874394345,28.860466767735353,-0.8527573036403524,0.0,0.025,-0.05,37.841
2025-01-14,3.431,3.481,3.491,3.411,1636934.0,21.239523033596715,26.320152189689143,11.078264721411863,-0.004,0.019,-0.046,44.24
2025-01-15,3.491,3.501,3.571,3.481,1502819.0,31.703541671520597,28.11461535029963,38.88139431396253,-0.005,0.014,-0.039,46.228
2025-01-16,3.531,3.541,3.571,3.511,1347366.0,45.6970979564523,33.97544288568386,69.1404080979892,-0.003,0.011,-0.027,50.061
2025-01-17,3.541,3.521,3.561,3.491,1088797.0,51.51736354991555,39.82274977376109,74.90659110222447,-0.003,0.008,-0.022,48.211
2025-01-20,3.531,3.571,3.591,3.491,1842959.0,64.16947043678582,47.93832332810267,96.63176465415211,0.002,0.007,-0.011,52.899
2025-01-21,3.581,3.591,3.621,3.551,1447648.0,71.56752574573603,55.81472413398046,103.0731289692472,0.006,0.007,-0.001,54.667
2025-01-22,3.585,3.565,3.605,3.535,1782257.0,72.56016867897554,61.39653898231216,94.88742807230231,0.008,0.007,0.002,51.938
2025-01-23,3.585,3.785,3.795,3.585,3634034.0,80.86075543065377,67.88461113175937,106.81304402844256,0.027,0.011,0.032,66.965
2025-01-24,3.805,3.785,3.815,3.665,2465527.0,84.76525609568338,73.51149278640071,107.27278271424873,0.041,0.017,0.048,66.965
2025-01-27,3.755,3.785,3.825,3.755,1325913.0,85.96753507154087,77.66350688144743,102.57559145172775,0.052,0.024,0.056,66.965
2025-02-05,3.775,3.695,3.795,3.665,1692076.0,77.67097148481963,77.6659950825715,77.6809242893159,0.053,0.03,0.046,57.741
2025-02-06,3.695,3.685,3.745,3.665,1326547.0,71.1419251016562,75.49130508893307,62.443165127102446,0.052,0.034,0.035,56.804
